imovel1,imovel2,proporcao_de_iguais,proporcao_de_diferentes,proporcao_de_indeterminados
im10_3_iguais_ao_4_porem_3_diferentes,im5,0.0,1.0,0.0
im10_3_iguais_ao_4_porem_3_diferentes,im6,0.0,1.0,0.0
im5,im4,0.0,1.0,0.0
im6,im4,0.0,1.0,0.0
im6,im5,0.0,1.0,0.0
im7_2_iguais_ao_4,im5,0.0,1.0,0.0
im8_5_iguais_ao_4_porem_1_diferente,im5,0.0,1.0,0.0
im5,im9_5_iguais_ao_4_porem_3_diferente,0.0,1.0,0.0
im7_2_iguais_ao_4,im6,0.0,1.0,0.0
im6,im8_5_iguais_ao_4_porem_1_diferente,0.0,1.0,0.0
im6,im9_5_iguais_ao_4_porem_3_diferente,0.0,1.0,0.0
